Days Harvest Keys,,,,
Key,Unit,Description,,
'year',,year e.g. 2002,,
'doy',,day of year 1 - 356 (366 for leap year),,
'frac_harv',fraction,fraction (0-1) of material above target to harvest to maintain 'backward capabilities' with v2.0.0,,
'harv_trig',kgDM/ha,dm above which to initiate harvest if trigger is less than zero no harvest will take place,,
'harv_targ',kgDM/ha,dm to harvest to or to remove depending on 'fixed_removal',,
'weed_dm_frac',fraction,fraction of dm of ryegrass to attribute to weeds,,
'reseed_trig',fraction,when BASAL <= reseed_trig trigger a reseeding. if <0 then do not reseed,,
'reseed_basal',fraction,set BASAL = reseed_basal when reseeding.,,
,,,,
Matrix weather keys where pet is passed,,,,
Key,Unit,Description,,
'year',,e.g. 2002,,
'doy',,day of year 1 - 356 or 366 for leap years,,
'radn',MJ/m2,daily solar radiation,,
'tmin',degrees C,daily min,,
'tmax',degrees C,daily max,,
'rain',mm,sum daily rainfall,,
'pet',mm,priestly/penman evapotransperation,,
'max_irr',mm/d,maximum irrigation available,,
'irr_trig',fraction,fraction of PAW/field (see irr_frm_paw) at or below which irrigation is triggered e.g. 0.5 means that irrigation will only be applied when soil water content is at 1/2 of the appropriate variable,,
'irr_targ',fraction,fraction of PAW/field (see irr_frm_paw) to irrigate up to.,,
,,,,
Matrix weather keys where pet is calculated via penman,,,,
Key,Unit,Description,,
'year',,e.g. 2002,,
'doy',,day of year 1 - 356 or 366 for leap years,,
'radn',MJ/m2,daily solar radiation,,
'tmin',degrees C,daily min,,
'tmax',degrees C,daily max,,
'rain',mm,sum daily rainfall,,
'vpa',kPa,vapour pressure,,
'wind',m/s,mean wind speed at 2m,,
'max_irr',mm/d,maximum irrigation available,,
'irr_trig',fraction,fraction of PAW/field (see irr_frm_paw) at or below which irrigation is triggered e.g. 0.5 means that irrigation will only be applied when soil water content is at 1/2 of the appropriate variable,,
'irr_targ',fraction,fraction of PAW/field (see irr_frm_paw) to irrigate up to.,,
,,,,
,,,,
Site Parameters,,,,
Key,Unit,Description,,
'BD',kg l-1,Bulk density of soil,,
'CO2A',ppm,CO2 concentration in atmosphere woodward 2020 set to 350,,
'DRATE',mm d-1,Maximum soil drainage rate woodward 2020 set to 50,,
'FGAS',-,Fraction of soil volume that is gaseous,,
'fixed_removal',,sudo boolean(1=True 0=False) defines if auto_harv_targ is fixed amount or amount to harvest to,,
'FO2MX',mol O2 mol-1 gas,Maximum oxygen fraction of soil gas,,
'FWCAD',m3 m-3,Relative saturation at air dryness,,
'FWCFC',m3 m-3,Relative saturation at field capacity,,
'FWCWET',m3 m-3,Relative saturation above which transpiration is reduced,,
'FWCWP',m3 m-3,Relative saturation at wilting point,,
'irr_frm_paw',,are irrigation trigger/target the fraction of profile available water (1/True or the fraction of field capacity (0/False).,,
'IRRIGF',fraction,fraction of the needed irrigation to apply to bring water content up to field capacity,,
'KRTOTAER',-,Ratio of total to aerobic respiration,,
'KSNOW',mm-1,Light extinction coefficient of snow,,
'KTSNOW',m-1,Temperature extinction coefficient of snow,,
'LAMBDAsoil',J m-1 degC-1 d-1,Thermal conductivity of soil?,,
'LAT',degN,Latitude,,
'opt_harvfrin',,sudo boolean(1=True 0=False) if True harvest fraction is estimated by brent zero optimisation if false harvest fraction is estimated by brent zero optimisation if false HARVFRIN = DM_RYE_RM/DMH_RYE. As the harvest fraction is non-linearly related to the harvest the amount harvested may be significantly greather than expected depending on CST,,
'poolInfilLimit',m,woodward set to 0.2 Soil frost depth limit for water infiltration,,
'reseed_CLV',(gC m-2),Weight of leaves after reseed if >= 0 otherwise use current state of variable,,
'reseed_CRES',(gC m-2),Weight of reserves after reseed if >= 0 otherwise use current state of variable,,
'reseed_CST',(gC m-2),Weight of stems after reseed if >= 0 otherwise use current state of variable,,
'reseed_CSTUB',(gC m-2),Weight of stubble after reseed if >= 0 otherwise use current state of variable,,
'reseed_harv_delay',days,number of days to delay harvest after reseed must be >=1,,
'reseed_LAI',(m2 m-2),>=0 the leaf area index to set after reseeding if < 0 then simply use the current LAI,,
'reseed_TILG1',(m-2),Elongating generative tiller density after reseed if >=0 otherwise use current state of variable,,
'reseed_TILG2',(m-2),Non-elongating generative tiller density after reseed if >=0 otherwise use current state of variable,,
'reseed_TILV',(m-2),Non-elongating tiller density after reseed if >=0 otherwise use current state of variable,,
'RHOnewSnow',kg SWE m-3,Density of newly fallen snow,,
'RHOpack',d-1,Relative packing rate of snow,,
'SWret',mm mm-1 d-1,Liquid water storage capacity of snow,,
'SWrf',mm d-1 Â°C-1,Maximum refreezing rate per degree below 'TmeltFreeze',,
'TmeltFreeze',°C,Temperature above which snow melts,,
'TrainSnow',°C,Temperature below which precipitation is snow,,
'WCI',m3 m-3,Initial value of volumetric water content,,
'WCST',m3 m-3,Volumetric water content at saturation,,
'WpoolMax',mm,Maximum pool water (liquid plus ice),,
,,,,
Plant Parameters,,,,
PARAMETER,units,Description,,
'ABASAL',d-1,Grass basal area response rate,,
'BASALI',-,Grass basal area,,
'CLAIV',m2 leaf m-2,Maximum LAI remaining after harvest when no tillers elongate,,
'COCRESMX',-,Maximum concentration of reserves in aboveground biomass,,
'CSTAVM',gC tiller-1,Maximum stem mass of elongating tillers,,
'CSTI',gC m-2,Initial value of stems,,
'DAYLA',-,DAYL above which growth is prioritised over storage,,
'DAYLB',d d-1,Day length below which DAYLGE becomes 0 and phenological stage is reset to zero (must be < DLMXGE),,
'DAYLG1G2',d d-1,Minimum day length above which generative tillers can start elongating,,
'DAYLGEMN',-,Minimum daylength growth effect,,
'DAYLP',d d-1,Day length below which phenological development slows down,,
'DAYLRV',-,DAYL at which vernalisation is reset,,
'DELD',-,Litter disappearance due to decomposition,,
'DELE',-,Litter disappearance due to earthworms,,
'DLMXGE',d d-1,Day length below which DAYLGE becomes less than 1 (should be < maximum DAYL?),,
'Dparam',Â°C-1 d-1,Constant in the calculation of dehardening rate,,
'EBIOMAX',-,Earthworm biomass max,,
'FCOCRESMN',-,Minimum concentration of reserves in aboveground biomass as fraction of COCRESMX,,
'FGRESSI',-,CRES sink strength factor,,
'FRTILGG1I',-,Initial fraction of generative tillers that is still in stage 1,,
'FRTILGI',-,Initial value of elongating tiller fraction,,
'FSLAMIN',-,Minimum SLA of new leaves as a fraction of maximum possible SLA (must be < 1),,
